variant,normalized,category,notes,source
Hwasan,Mount Hua,place,variant spelling,forum_rengetsu08
Hawasan,Mount Hua,place,variant spelling,forum_rengetsu08
Huwasan,Mount Hua,place,variant spelling,forum_rengetsu08
Bimu,Martial Arts Competition,action,variant spelling,forum_rengetsu08
Bimura,Martial Arts Competition,action,variant spelling,forum_rengetsu08
Bee Moo,Martial Arts Competition,action,variant spelling,forum_rengetsu08
Magyo,Demonic Cult,faction,variant spelling,forum_rengetsu08
Mahkyo,Demonic Cult,faction,variant spelling,forum_rengetsu08
Hao Men,Hao Sect,group,variant spelling,forum_rengetsu08
Hao Mun,Hao Sect,group,variant spelling,forum_rengetsu08
